EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,EVENT START DATE,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY - PEOPLE AFFECTED,MAGNITUDE
Disaster,Natural,Geological,Landslide,Khyex River BC,11/28/2003 0:00,0,0,0,0,0,11/28/2003 0:00,0,0,,,,,,0,0
Disaster,Natural,Biological,Epidemic,Across Canada ... largely in the Greater Toronto area,3/13/2003 0:00,44,375,0,,,8/31/2003 0:00,,,,,,,,0,0
Disaster,Natural,Biological,Epidemic,Across Canada,8/1/2008 0:00,22,57,0,0,0,8/1/2008 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storm Surge,Maritime provinces,1/21/2000 0:00,0,0,0,216978,13646.4,1/21/2000 0:00,216978,,,,,,,0,0
Disaster,Natural,Biological,Pandemic,Across Canada,4/1/2009 0:00,425,8582,0,0,0,2/1/2010 0:00,,,,,,,,0,0
Disaster,Natural,Geological,Volcano,Eyjafjallaj̦kull glacier ... Iceland,4/14/2010 0:00,0,0,1200,0,0,4/14/2010 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Calgary ... Edmonton ... St. Albert ... the town of Stony Plain ... Parkland County ... Two Hills County ... Kneehill County ... Camrose ... and the municipal districts of Rocky View and Bighorn AB,6/5/2007 0:00,0,0,0,16396213,882307.4,6/5/2007 0:00,7496213,8900000,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Rock Creek and Henderson Corner YT,5/1/2009 0:00,0,0,28,459130,24080.2,5/1/2009 0:00,59130,400000,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Wemotaci reserve and La Tuque QC,5/23/2010 0:00,0,0,1300,0,0,5/23/2010 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Kelowna ... Kamloops and Cariboo BC,5/1/2009 0:00,1,0,20000,98743529,5178856.4,8/31/2009 0:00,81743529,17000000,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Ottawa ... Toronto and Windsor ON,4/25/2009 0:00,0,0,0,0,0,4/25/2009 0:00,,,,,,,,300000,0
Disaster,Natural,Meteorological - Hydrological,Storm Surge,Tuktoyaktuk and Mackenzie Delta NT,9/23/1993 0:00,0,0,0,,,9/23/1993 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Lorette River ... Quebec City QC,9/26/2005 0:00,0,0,700,0,0,9/26/2005 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Tornado,Toronto ... Windsor ... Vaughan and Newmarket ON,8/20/2009 0:00,1,0,0,0,0,8/20/2009 0:00,,,,,,,,207000,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Southern Alberta,8/1/2009 0:00,2,77,0,0,0,8/3/2009 0:00,,,,,,,,10000,0
Disaster,Natural,Meteorological - Hydrological,Flood,Notre-Dame-des-Prairies QC,6/28/2009 0:00,0,0,0,0,0,7/4/2009 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Hamilton and Toronto ON,7/26/2009 0:00,0,0,0,0,0,7/26/2009 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storm - Unspecified / Other,Montreal ... Alma ... La Tuque and Baie-Saint-Paul QC,5/14/2009 0:00,0,0,0,0,0,5/14/2009 0:00,,,,,,,,70000,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John ... Miramichi and Restigouche River NB,4/5/2009 0:00,0,0,0,2000000,104895.1,5/4/2009 0:00,626000,1374000,,,,,,0,0
Disaster,Natural,Geological,Earthquake,Val-des-Bois and Gracefield QC,6/23/2010 0:00,0,0,0,0,0,6/23/2010 0:00,,,,,,,,900,5
Disaster,Natural,Meteorological - Hydrological,Tornado,D̩l̩age and Mont-Laurier QC,8/4/2009 0:00,0,0,0,6000000,314685.3,8/4/2009 0:00,,,,,,6000000,,12000,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Winnipeg and Steinbach MB,8/14/2009 0:00,0,0,0,50000000,2622377.6,8/14/2009 0:00,,,,,,50000000,,12000,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Cranberry Portage MB,6/23/2010 0:00,0,0,200,9572104,492983.9,7/6/2010 0:00,9572104,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,Halifax NS,8/23/2009 0:00,0,0,0,0,0,8/23/2009 0:00,,,,,,,,40000,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Nova Scotia and New Brunswick,10/25/2009 0:00,0,0,0,0,0,10/28/2009 0:00,,,,,,,,24000,0
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,Newfoundland,8/1/2007 0:00,0,0,0,0,0,8/1/2007 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,New Brunswick and Nova Scotia,11/4/2007 0:00,0,0,0,0,0,11/4/2007 0:00,,,,,,,,190000,0
